notice-identifier,dps-usage-lot,notice-type,exclusion-grounds,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,legal-basis-proc,procedure-identifier,winner-selection-status,winner-size,estimated-value-cur-lot,total-value,estimated-value-cur-proc,winner-owner-nationality,direct-award-justification-text-proc.deu,direct-award-justification-proc,no-negocaition-necessary-lot,accessibility-lot,legal-basis-text.deu,framework-value-notice,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy
172bae37-3dab-4db3-8401-f02a067ba965,none,can-standard,,188263-2025,False,32014L0024,DEU,vob-a-eu,3a80b3e7-a0a6-4ba1-8e20-ed3f9f6d462e,selec-w,micro,,70770.0,,DEU,,,,,,,EUR,70770.0,70770.0,False,11.167204591251192,1,micro,1.0,0,1,0,0,0,0,0,0,0
196dbb32-5dc9-4647-9060-535dbe315a86,none,cn-standard,nati-ground,188296-2025,False,32014L0024,DEU,vob-a-eu,bb34c4be-1c4b-44ff-ba64-32144c07e978,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
3a9f5e36-46bf-46cc-a0db-8642fbd470fd,none|none|none,can-standard,,188298-2025,False,32014L0024,DEU,vgv,180d5b47-7335-47b7-83de-6e1460cb6a06,selec-w|selec-w|selec-w,medium|medium|medium,EUR,1.0,,DEU|DEU|DEU,,,,,,,EUR,1.0,1.0,False,0.6931471805599453,3,medium,3.0,0,1,0,0,0,0,0,0,0
e47c2cf8-52f7-44e6-9184-936f1c133c16,none,cn-standard,nati-ground,188311-2025,False,32014L0024,DEU,vob-a-eu,ee374d31-ad56-4140-a942-3fc056c09f42,,,,340180.0,EUR,,,,,,,,EUR,340180.0,340180.0,False,12.737233107883963,0,,,1,0,0,0,0,0,0,0,0
8d911487-873b-4acb-9ca7-23c84ca5cf0c,none,cn-standard,bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188319-2025,False,32014L0024,DEU,vob-a-eu,ee5224d3-3106-4ced-b30e-37d0285a5d7b,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
f7ed9c76-77a3-468d-93b9-d0626b88b4ee,none,can-standard,,188332-2025,False,32014L0024,DEU,vob-a-eu,646ef875-2244-4560-946f-eb22b2a6847b,selec-w,medium,,1019305.27,EUR,DEU,,,,,,,EUR,1019305.27,1019305.27,False,13.834632826417876,1,medium,3.0,0,1,0,0,0,0,0,0,0
06c816ce-e50b-4ff6-b4c9-77eff81de529,none|none|none|none,cn-standard,nati-ground,188351-2025,False,32014L0024,DEU,vgv,99bc6f2f-b7b4-43e6-b447-b531f7749f4a,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
fa43584d-f977-49fd-9e8c-bfc825b6a3fe,none,cn-standard,tax-pay,188378-2025,False,32014L0024,DEU,vgv,24626d70-139c-4900-9517-8b0ef5223dc3,,,,,,,,,True,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
33061916-c2ee-4288-95b7-b0b0d48ae884,none,cn-standard,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188391-2025,False,32014L0024,DEU,vob-a-eu,e5400d96-fa11-4e8d-8883-4a199a7f7d99,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
6daefa00-d536-4e09-aa70-9c9441d7fe46,none,cn-standard,exg-natl-bre-nat-law|exg-crim-part|exg-crim-terror|exg-crim-laund|exg-crim-fraud|exg-crim-corrpt|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-mis-bre-env-law|exg-mis-bre-soc-law|exg-mis-bre-lab-law|exg-sitn-insolvency|exg-sitn-liq-admin|exg-mis-misconduct|exg-mis-distortion|exg-mis-partic-confl|exg-mis-prep-confl|exg-mis-sanction|exg-mis-misrepresent,188413-2025,False,32014L0024,DEU|DEU|DEU|DEU,vob-a-eu,3d6f01fa-b694-4923-8236-b69dac94cd83,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
